KEGG	Name	Formula	MetaNetX	ModelSEED	BiGG	ChEBI	MetaCyc	SABIO-RK	Reactome
C00001	H2O	H2O							
C00002	ATP	C10H16N5O13P3	MNXM3	cpd00002	atp	15422;237958;30616;57299	ATP	34	R-ALL-113592;R-ALL-113593;R-ALL-114570;R-ALL-114571;R-ALL-139836;R-ALL-211579;R-ALL-29358;R-ALL-389573;R-ALL-5632460
C00003	NAD+	C21H28N7O14P2	MNXM8	cpd00003	nad	15846;44215;57540	NAD	37	R-ALL-113526;R-ALL-192307;R-ALL-194653;R-ALL-29360;R-ALL-352330;R-ALL-427523
C00004	NADH	C21H29N7O14P2	MNXM10	cpd00004	nadh	16908;57945	NADH	38	R-ALL-192305;R-ALL-194697;R-ALL-29362;R-ALL-73473
C00005	NADPH	C21H30N7O17P3	MNXM738702	cpd00005	nadph	16474;57783	NADPH	1262	R-ALL-113600;R-ALL-113601;R-ALL-113602;R-ALL-194725;R-ALL-2000347;R-ALL-29364;R-ALL-351627;R-ALL-5623644
C00006	NADP+	C21H29N7O17P3	MNXM5	cpd00006	nadp	18009;25523;44409;58349	NADP	1263	R-ALL-113563;R-ALL-113564;R-ALL-194668;R-ALL-2000348;R-ALL-29366;R-ALL-351628;R-ALL-389556;R-ALL-5623650
C00007	Oxygen	O2	MNXM735438	cpd00007	o2	15379;26689;29793	OXYGEN-MOLECULE	1264	R-ALL-113533;R-ALL-113534;R-ALL-113535;R-ALL-113685;R-ALL-1236709;R-ALL-189461;R-ALL-2230955;R-ALL-29368;R-ALL-351593;R-ALL-352327;R-ALL-5668566
C00008	ADP	C10H15N5O10P2	MNXM40333	cpd00008;cpd22244	adp	16761;456216;87518	ADP;ADP-GROUP	35	R-ALL-113581;R-ALL-113582;R-ALL-114564;R-ALL-114565;R-ALL-196180;R-ALL-211606;R-ALL-29370;R-ALL-5632457;R-ALL-8931884
C00009	Orthophosphate	H3PO4	MNXM9	cpd00009;cpd27787	pi	18367;26020;26078;35780;39745;43474	CPD-16459;CPD-20124;Isoprenoid-Derivatives;PHOSPHATE-GROUP;Pi	36	R-ALL-109277;R-ALL-1132287;R-ALL-113548;R-ALL-113550;R-ALL-113551;R-ALL-114640;R-ALL-2255331;R-ALL-29372;R-ALL-5228339;R-ALL-947590
C00010	CoA	C21H36N7O16P3S	MNXM727276	cpd00010	coa	15346;57287	CO-A;COA-GROUP	1265	R-ALL-162743;R-ALL-193514;R-ALL-2485002;R-ALL-29374;R-ALL-76194
