KEGG	Name	Equation	MetaNetX	Rhea	ModelSEED	BiGG	MetaCyc	SABIO-RK
R00001	polyphosphate polyphosphohydrolase	Polyphosphate + n H2O <=> (n+1) Oligophosphate						
R00002	Reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing)	16 ATP + 16 H2O + 8 Reduced ferredoxin <=> 8 e- + 16 Orthophosphate + 16 ADP + 8 Oxidized ferredoxin	MNXR106334		rxn11947			
R00004	diphosphate phosphohydrolase	Diphosphate + H2O <=> 2 Orthophosphate	MNXR145285	24576;24577;24578;24579	rxn00001;rxn27946;rxn27947;rxn27948;rxn32487;rxn38157;rxn38158	IDP_h;IDPh;IDPh_1;IDPm;PPA;PPAer;PPAm;PPAn;r0009	INORGPYROPHOSPHAT-RXN	76
R00005	urea-1-carboxylate amidohydrolase	Urea-1-carboxylate + H2O <=> 2 CO2 + 2 Ammonia	MNXR95786	19029;19030;19031;19032	rxn00002;rxn30346;rxn35525	ALPHNH;ALPHm	ALLOPHANATE-HYDROLASE-RXN	
R00006	pyruvate:pyruvate acetaldehydetransferase (decarboxylating)	2-Acetolactate + CO2 <=> 2 Pyruvate	MNXR146819	25249;25250;25251;25252	rxn00003;rxn15021;rxn27664;rxn30144;rxn30334;rxn33164	ACLS;ACLSm;PPATDh	ACETOLACTSYN-RXN	6473;749
R00008	4-hydroxy-4-methyl-2-oxoglutarate pyruvate-lyase (pyruvate-forming)	Parapyruvate <=> 2 Pyruvate	MNXR106336	22748;22749;22750;22751	rxn00004;rxn18929;rxn18930		4.1.3.17-RXN;RXN-12074	6474
R00009	hydrogen-peroxide:hydrogen-peroxide oxidoreductase	2 Hydrogen peroxide <=> Oxygen + 2 H2O	MNXR96455	20309;20310;20311;20312	rxn00006;rxn19264;rxn22404;rxn27744;rxn31381	CAT;CATm;CATp;CATpp;CATr	CATAL-RXN	373
R00010	alpha,alpha-trehalose glucohydrolase	alpha,alpha-Trehalose + H2O <=> 2 D-Glucose	MNXR192384	20868;20869;20870;20871	rxn00007;rxn29977;rxn30219;rxn30442	TREH;TREHe;TREHpp;TREHv		6476
R00011	Mn(II):hydrogen-peroxide oxidoreductase	2 Manganese(2+) + Hydrogen peroxide + 2 H+ <=> 2 Manganese(3+) + 2 H2O	MNXR106337	22776;22777;22778;22779	rxn20171;rxn39256		MANGANESE-PEROXIDASE-RXN	6477
R00012	GTP:GTP guanylyltransferase	2 GTP <=> Diphosphate + P1,P4-Bis(5'-guanosyl) tetraphosphate	MNXR106338	18153;18154;18155;18156	rxn00009;rxn33150;rxn33152		2.7.7.45-RXN	
R00013	glyoxylate carboxy-lyase (dimerizing tartronate-semialdehyde-forming)	2 Glyoxylate <=> 2-Hydroxy-3-oxopropanoate + CO2	MNXR100303	10136;10137;10138;10139	rxn00010	GLXCBL;GLXCL	GLYOCARBOLIG-RXN	
R00014	pyruvate:thiamin diphosphate acetaldehydetransferase (decarboxylating)	Pyruvate + Thiamin diphosphate <=> 2-(alpha-Hydroxyethyl)thiamine diphosphate + CO2	MNXR102428		rxn00011;rxn31360;rxn31361	ACLSa;PDHam1hi;PDHam1m;PDHam1mi	RXN-12583	6479
R00015	sucrose:sucrose 1'-beta-D-fructosyltransferase	2 Sucrose <=> D-Glucose + 1F-beta-D-Fructosylsucrose	MNXR146820	23312;23313;23314;23315	rxn00012		RXN-1781	
R00017	ferrocytochrome-c:hydrogen-peroxide oxidoreductase	Hydrogen peroxide + 2 Ferrocytochrome c <=> 2 Ferricytochrome c + 2 H2O	MNXR151653					
R00018	putrescine:putrescine 4-aminobutyltransferase (ammonia-forming)	2 Putrescine <=> sym-Homospermidine + Ammonia	MNXR100740	18645;18646;18647;18648	rxn00015;rxn30077	HSPMS	2.5.1.44-RXN	
R00019	hydrogen:ferredoxin oxidoreductase	2 Reduced ferredoxin + 2 H+ <=> Hydrogen + 2 Oxidized ferredoxin	MNXR100757		rxn05759;rxn34234;rxn35454	HYDA;HYDAh;HYDAm	HYDROG-RXN	
R00021	L-glutamate:ferredoxin oxidoreductase (transaminating)	2 L-Glutamate + 2 Oxidized ferredoxin <=> L-Glutamine + 2-Oxoglutarate + 2 Reduced ferredoxin + 2 H+	MNXR100245		rxn12822;rxn31206;rxn33968	GLMS_syn;GLTS_h;GLUS_ferr;GLUSfx	GLUTAMATE-SYNTHASE-FERREDOXIN-RXN	
R00022	chitobiose N-acetylglucosaminohydrolase	Chitobiose + H2O <=> 2 N-Acetyl-D-glucosamine	MNXR190172	30671;30672;30673;30674	rxn00016;rxn23055	r0013	RXN-12625	
R00023	hydroxylamine:NAD+ oxidoreductase	2 Hydroxylamine + 2 NAD+ <=> Hyponitrite + 2 NADH + 2 H+	MNXR106341	19337;19338;19339;19340	rxn00017		HYPONITRITE-REDUCTASE-RXN	
R00024	3-phospho-D-glycerate carboxy-lyase (dimerizing D-ribulose-1,5-bisphosphate-forming)	D-Ribulose 1,5-bisphosphate + CO2 + H2O <=> 2 3-Phospho-D-glycerate	MNXR191185	23124;23125;23126;23127	rxn00018;rxn20788;rxn38286		RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN	9130
R00025	ethylnitronate:oxygen 2-oxidoreductase (nitrite-forming)	Ethylnitronate + Oxygen + Reduced FMN <=> Acetaldehyde + Nitrite + FMN + H2O	MNXR191418					
R00026	cellobiose glucohydrolase	Cellobiose + H2O <=> 2 beta-D-Glucose	MNXR146825	30679;30680;30681;30682	rxn00020;rxn33580			
R00027	2-hydroxy-1,2-diphenylethanone benzaldehyde-lyase (benzaldehyde-forming)	Benzoin <=> 2 Benzaldehyde	MNXR106344	21460;21461;21462;21463	rxn00021;rxn19226		BENZOIN-ALDOLASE-RXN	619
R00028	maltose glucohydrolase	Maltose + H2O <=> 2 D-Glucose	MNXR184967		rxn00022;rxn30130;rxn43105	MALT;MALTe;MALTly	RXN-15910	
R00029	thiosulfate:ferricytochrome-c oxidoreductase	2 Thiosulfate + 2 Ferricytochrome c <=> Tetrathionate + 2 Ferrocytochrome c	MNXR151776					
R00031	1,2-benzenediol:oxygen oxidoreductase	Oxygen + 2 L-Tyrosine <=> 2 3,4-Dihydroxy-L-phenylalanine	MNXR104991	34283;34284;34285;34286	rxn00024	TYRDOPO	RXN-5861	622
